Year,Rent,CI Rent,Rent/kvm,CI Rent/kvm,Avg kvm,Area kvm nybyggt
2003,51351,232,774,3,68,80.2
2004,52864,241,798,3,68,75.2
2005,54242,251,818,3,68,76.5
2006,54701,255,826,3,68,76.9
2007,55749,273,842,3,68,79.0
2008,57527,281,867,3,68,77.5
2009,59618,294,898,3,68,76.2
2010,60688,304,912,4,68,76.6
2011,62339,323,937,4,68,75.9
2012,64284,328,966,4,68,75.7
2013,66314,334,996,4,68,73.7
2014,67886,352,1019,4,68,70.6
